"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-01","2021","01","01","","1.6","","-4.1","","-1.3","","19.3","","0.0","","5.4","","3.0","","8.0","","1","","11","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-02","2021","01","02","","1.2","","-2.5","","-0.7","","18.7","","0.0","","3.8","","4.0","","6.8","","7","","33","","42",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-03","2021","01","03","","1.1","","-0.8","","0.2","","17.8","","0.0","","0.0","","1.4","","1.6","","4","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-04","2021","01","04","","1.1","","-0.8","","0.2","","17.8","","0.0","","0.0","","0.0","T","0.0","T","2","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-05","2021","01","05","","1.0","","-0.1","","0.5","","17.5","","0.0","","0.0","","0.2","","0.2","","2","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-06","2021","01","06","","2.0","","-1.2","","0.4","","17.6","","0.0","","0.0","","0.2","","0.2","","2","","35","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-07","2021","01","07","","-0.6","","-7.1","","-3.9","","21.9","","0.0","","0.0","","0.0","T","0.0","T","2","","35","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-08","2021","01","08","","-3.5","","-9.3","","-6.4","","24.4","","0.0","","0.0","","0.0","T","0.0","T","2","","36","","35",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-09","2021","01","09","","3.3","","-4.3","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","2","","36","","33",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-10","2021","01","10","","1.9","","-5.6","","-1.9","","19.9","","0.0","","0.0","","0.0","T","0.0","T","2","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-11","2021","01","11","","0.2","","-6.1","","-3.0","","21.0","","0.0","","0.0","","0.0","T","0.0","T","2","E","27","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-12","2021","01","12","","-1.2","","-2.1","","-1.7","","19.7","","0.0","","0.0","","0.0","T","0.0","T","1","","25","","32",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-13","2021","01","13","","3.1","","-1.4","","0.9","","17.1","","0.0","","0.0","","0.0","T","0.0","T","1","","24","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-14","2021","01","14","","4.6","","-0.8","","1.9","","16.1","","0.0","","0.0","","0.0","","0.0","","1","","11","","33",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-15","2021","01","15","","5.6","","1.2","","3.4","","14.6","","0.0","","5.0","","0.0","","5.0","","0","T","11","","48",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-16","2021","01","16","","4.7","","-2.6","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","","","28","","48",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-17","2021","01","17","","4.2","","-2.7","","0.8","","17.2","","0.0","","0.0","","0.6","","0.6","","","","29","","48",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-18","2021","01","18","","0.9","","-4.6","","-1.9","","19.9","","0.0","","0.0","","0.0","T","0.0","T","0","T","22","","45",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-19","2021","01","19","","","M","","M","","M","","M","","M","0.0","","0.6","","0.6","","0","T","26","","58",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-20","2021","01","20","","-2.2","","-7.7","","-5.0","","23.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","32","","45",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-21","2021","01","21","","3.1","","-1.8","","0.7","","17.3","","0.0","","0.0","","0.2","","0.2","","0","T","26","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-22","2021","01","22","","1.0","","-7.8","","-3.4","","21.4","","0.0","","0.0","","0.4","","0.4","","0","T","29","","58",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-23","2021","01","23","","-4.8","","-12.6","","-8.7","","26.7","","0.0","","0.0","","0.0","","0.0","","","","30","","48",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-24","2021","01","24","","-2.7","","-7.2","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-25","2021","01","25","","1.9","","-3.7","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-26","2021","01","26","","-0.5","","-4.6","","-2.6","","20.6","","0.0","","0.2","","9.2","","7.4","","6","E","6","","50",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-27","2021","01","27","","-3.3","","-10.2","","-6.8","","24.8","","0.0","","0.0","","0.0","T","0.0","T","8","","33","","35",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-28","2021","01","28","","-7.8","","-13.8","","-10.8","","28.8","","0.0","","0.0","","0.0","T","0.0","T","6","","31","","58",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-29","2021","01","29","","-7.1","","-14.6","","-10.9","","28.9","","0.0","","0.0","","0.2","","0.2","","5","","36","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-30","2021","01","30","","-2.2","","-13.8","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-01-31","2021","01","31","","-5.2","","-10.6","","-7.9","","25.9","","0.0","","0.0","","0.0","T","0.0","T","5","","8","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-01","2021","02","01","","-3.7","","-11.3","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","4","","2","","33",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-02","2021","02","02","","-0.9","","-9.6","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","3","","33","","67",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-03","2021","02","03","","0.6","","-6.3","","-2.9","","20.9","","0.0","","0.0","","0.0","","0.0","","2","","35","","61",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-04","2021","02","04","","4.3","","-7.2","","-1.5","","19.5","","0.0","","0.0","","1.4","","1.4","","2","","11","","42",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-05","2021","02","05","","1.7","","-8.0","","-3.2","","21.2","","0.0","","2.8","","2.4","","5.2","","2","","22","","65",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-06","2021","02","06","","-6.0","","-9.4","","-7.7","","25.7","","0.0","","0.0","","0.0","T","0.0","T","1","","23","","61",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-07","2021","02","07","","-6.2","","-13.3","","-9.8","","27.8","","0.0","","0.0","","0.6","","0.6","","2","","27","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-08","2021","02","08","","-6.5","","-13.4","","-10.0","","28.0","","0.0","","0.0","","0.4","","0.2","","1","","","","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-09","2021","02","09","","-2.7","","-11.4","","-7.1","","25.1","","0.0","","0.0","","1.2","","1.0","","2","","","","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2021-02-10","2021","02","10","","-5.3","","-13.2","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","1","","","","","M"
